value.var,name,pvalue
0.358652533,ARO.3003209FosA5,0.000321751
0.373221627,ARO.3003923oqxB,0.000321751
0.288465957,ARO.3004583Klebsiella,0.000504371
0.295517575,ARO.3004041Klebsiella,0.00088107
0.258375304,ARO.3004588Klebsiella,0.001535868
0.196117234,ARO.3002435OKP.B.2,0.001656153
0.189449063,ARO.3002438OKP.B.5,0.001656153
0.189647983,ARO.3002440OKP.B.7,0.001656153
0.234221725,ARO.3004122Klebsiella,0.001656153
-0.044445111,ARO.3000617mecA,0.002354796
0.207485575,ARO.3002434OKP.B.1,0.002841582
0.192699845,ARO.3002436OKP.B.3,0.002841582
0.191025728,ARO.3002437OKP.B.4,0.002841582
0.172918492,ARO.3002439OKP.B.6,0.002841582
0.203918739,ARO.3002441OKP.B.8,0.002841582
0.20665558,ARO.3002450OKP.B.17,0.002841582
0.07430806,ARO.3004580Klebsiella,0.002841582
0.171110728,ARO.3003922oqxA,0.003361065
-0.016115283,ARO.3000391norA,0.004076526
-0.017995448,ARO.3002865dfrC,0.005898106
0.037118584,ARO.3002985arnA,0.006035541
0.122142253,ARO.3002442OKP.B.9,0.006607084
-0.140567275,ARO.3002875dfrE,0.007844701
-0.021720488,ARO.3000215mecR1,0.008893292
0.074659617,ARO.3002453OKP.B.20,0.01686917
-0.090086514,ARO.3003551emeA,0.025218109
0.027252257,ARO.3000676H.NS,0.028799249
0.11118992,ARO.3001133SHV.79,0.028799249
0.048527395,ARO.3000793mdtB,0.031266264
-0.06568838,ARO.3003948efrA,0.031266264
-0.060771607,ARO.3000300lsaA,0.032382107
0.046180233,ARO.3000794mdtC,0.032382107
-0.049009443,ARO.3003949efrB,0.032382107
0.053889086,ARO.3000216acrB,0.032635736
-0.04081083,ARO.3000948TEM.81,0.040749884
0.231554065,ARO.3002396OXY.2.1,0.053509502
0.100367615,ARO.3001198SHV.159,0.058423249
0.004384325,ARO.3000518CRP,0.059868119
-0.048750905,ARO.3000882TEM.10,0.062010553
