,species,spearmanr,pval,averageAbundance
0,Enterococcus faecalis,-0.0866501618739288,0.250112103827528,0.12638705281004337
1,Klebsiella michiganensis,0.37778952934955046,0.0026849048284967015,0.012642621623729889
2,Klebsiella oxytoca,0.015802108339421778,0.8997858260162208,0.040082694825084905
3,Escherichia coli,-0.19098302769091588,0.022803650860207875,0.22669975484163288
4,Klebsiella sp. M5al,-0.19199110122358176,0.3094434602898336,0.001580260288418427
5,Klebsiella aerogenes,-0.16647011651492996,0.12554694053586304,0.01257622215744224
6,Enterobacter cloacae,-0.4828324056895485,4.1620806658016163e-07,0.0671810697508225
7,Enterobacter hormaechei,-0.47769397372688593,5.67382034115238e-06,0.053763933584927696
8,Veillonella parvula,-0.1933676386506575,0.16122315643568097,0.010341609859225718
9,Enterobacter sp. DKU_NT_01,-0.2943877551020408,0.04004714894500822,0.0009506332555944331
10,Enterobacter sp. CRENT-193,-0.3249138920780712,0.00777197597496342,0.0017258368788750865
11,Staphylococcus epidermidis,0.1863188507335381,0.11710186913529251,0.07910106227402278
12,Enterococcus faecium,0.5651282051282052,0.002627672204743999,0.035488091539474936
13,Bacteroides fragilis,-0.4077922077922078,0.06650304724796137,0.004593513020045132
14,Citrobacter freundii,-0.4325123152709358,0.019113709594185745,0.010460838349041011
15,Citrobacter,-0.15826086956521737,0.460148912728106,0.00042176483424960856
16,Klebsiella pneumoniae,0.018556844225293422,0.8405659290523567,0.24477067506215094
17,Klebsiella quasipneumoniae,-0.7155235523552355,6.029130924384247e-17,0.015895408856566172
18,Enterobacter roggenkampii,-0.4229143492769744,0.019889229175108047,0.005347818099446008
19,Enterobacter sp. HK169,-0.15692307692307692,0.45379350880333014,0.0008160789317486145
20,Enterobacter asburiae,-0.32991452991452985,0.09977131150207555,0.003766002483288181
21,Bifidobacterium longum,0.34187192118226595,0.06949461724867353,0.023647348301590446
22,Clostridium perfringens,0.019548872180451125,0.9348031235214638,0.007508756012772939
23,Klebsiella variicola,-0.4571428571428572,0.005765372027655537,0.012963982590602044
24,Enterobacteriaceae bacterium S05,-0.5894736842105263,0.006233369103076906,0.0012869697692040442
