Cohort,AAC(3),AAC(6'),AAC(6');APH(2''),ABC-F ATP-binding cassette ribosomal protection protein,ACC beta-lactamase,ACI beta-lactamase,ACT beta-lactamase,ADC beta-lactamase without carbapenemase activity,ANT(2''),ANT(3''),ANT(4'),ANT(6),APH(2''),APH(3''),APH(3'),APH(6),ATP-binding cassette (ABC) antibiotic efflux pump,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,BUT beta-lactamase,CMY beta-lactamase,CTX-M beta-lactamase,CblA beta-lactamase,CfxA beta-lactamase,DHA beta-lactamase,Erm 23S ribosomal RNA methyltransferase,General Bacterial Porin with reduced permeability to beta-lactams,General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump,HERA beta-lactamase,L1 family beta-lactamase,LEN beta-lactamase,MCR phosphoethanolamine transferase,MIR beta-lactamase,MOX beta-lactamase,NDM beta-lactamase,OKP beta-lactamase,OXA beta-lactamase,OXY beta-lactamase,PDC beta-lactamase,SHV beta-lactamase,SRT beta-lactamase,TEM beta-lactamase,aminocoumarin resistant parY,ampC-type beta-lactamase,antibiotic resistant isoleucyl-tRNA synthetase (ileS),blaZ beta-lactamase,cepA beta-lactamase,chloramphenicol acetyltransferase (CAT),ciprofloxacin phosphotransferase,defensin resistant mprF,fosfomycin thiol transferase,fusidic acid inactivation enzyme,glycopeptide resistance gene cluster;van ligase,glycopeptide resistance gene cluster;vanH,glycopeptide resistance gene cluster;vanR,glycopeptide resistance gene cluster;vanS,glycopeptide resistance gene cluster;vanT,glycopeptide resistance gene cluster;vanX,glycopeptide resistance gene cluster;vanXY,kdpDE,lincosamide nucleotidyltransferase (LNU),macrolide phosphotransferase (MPH),major facilitator superfamily (MFS) antibiotic efflux pump,major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,methicillin resistant PBP2,multidrug and toxic compound extrusion (MATE) transporter,non-erm 23S ribosomal RNA methyltransferase (G748),pmr phosphoethanolamine transferase,quinolone resistance protein (qnr),resistance-nodulation-cell division (RND) antibiotic efflux pump,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),small multidrug resistance (SMR) antibiotic efflux pump,streptothricin acetyltransferase (SAT),sulfonamide resistant sul,tetracycline-resistant ribosomal protection protein,trimethoprim resistant dihydrofolate reductase dfr,undecaprenyl pyrophosphate related proteins
Control,0.0,12.176265680641944,2.2179103098825936,28.968421788509875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.913641924268617,8.390125320451155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3897072273880131,5.9408875155824346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.268764035482628,22.864878865580682,0.0,7.249230330616153,6.3608519145999125,1.1937256570148815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.359119934476972,0.0
Antibiotic,0.0,0.0,0.5441285344791729,21.039743622846572,0.0,0.0,4.991194950530682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.871879046729268,0.0,13.44094541759328,6.543669683011865,0.526576001108877,0.0,0.0,0.0,0.0,0.0,0.0,13.661684121666733,0.6964845241333414,6.791380214723784,0.0,0.0,0.0,0.0,4.884109765930356,0.0,0.0,0.0,0.0,8.617206029745962,0.0,0.0,0.0,0.0,0.0,0.0,2.1597851888569397,5.399759141940413,0.0,0.0,0.0,0.0,3.900891878376086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.080938949374692,21.38029142573302,7.017848645548957,4.789220222570661,7.068502051687671,0.0,1.0653574535417927,0.0,23.11289318031678,1.2224317663222077,0.0,0.0,0.0,4.9476269576624015,21.360949958033807,0.0
Antibiotic,0.0,0.0,0.2418693790576677,3.1227913017320974,0.0,0.0,0.0,0.0,0.0,0.0,3.181903373683149,4.594813689531841,0.0,0.0,5.655858885050383,0.0,0.0,5.291227651300517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.626757048798847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042744506369541,0.0,4.580429554547738,2.7769563560016888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.108332329377019,9.848351757523155,0.0,4.059571203567023,0.0,0.0,0.0,0.0,0.11293511862614833,3.2692644541453957,0.0,6.047105059271248,0.0,0.6310220512691695,14.228145577531496,0.0
Antibiotic,0.0,0.0,0.0,6.427605263051994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.391096209695299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.710799854607583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8559789674565277,2.664664737055784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.877513225304909,0.0,3.8756320194136435,7.803590842379861,0.0,0.0,0.0,1.4977718958486468,0.0,0.0,0.0,0.0,4.643913269368033,21.218997625182958,0.0
Antibiotic,0.0,0.0,0.2950985527395744,9.89574091164183,0.0,0.0,0.0,0.0,0.0,0.0,0.7849781322892017,13.300132232674143,0.0,0.0,0.0,0.0,14.27360497491548,2.803900866812836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.930177706240164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5306832016660773,0.0,0.0,1.1575316984182362,1.997531755395456,0.0,0.0,0.0,0.13336866158156505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9448806631701827,0.0,2.032227963107993,7.573203222215077,0.0,0.4578954903977786,0.0,0.521554828598711,0.0,0.0,0.0,0.0,4.9661549754189815,18.53443810428105,0.0
Antibiotic,0.0,0.0,4.21319540530564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.67088356901032,0.0,0.0,0.0,0.0,0.0,0.0,10.776943937342649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.435661331658038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.522490479979073,0.0,0.0,0.0,10.244240186229677,0.0,8.869838066206292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.260090239644196,0.3707294874334477,22.82940187102689,0.0,0.0,2.030176546713398,0.0,5.773609147092103,0.0,0.0,0.0,0.0,0.0,16.096873749031428,0.0
Antibiotic,0.0,0.0,2.4746259591316395,12.091934101424942,0.0,0.0,0.0,0.0,0.0,0.0,7.651924822442982,0.0,0.0,0.0,0.0,0.0,0.6720595353817067,9.960358745774048,1.1879390904228413,0.0,0.0,0.0,0.0,0.0,0.0,20.085552140973746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9032664756500683,2.44765727714884,7.173811955643773,0.0,0.0,0.0,0.0,2.7122402677904587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.031659354336736,46.79568546378371,10.040186950142868,5.388458747670551,12.490519459521334,0.0,0.0,0.0,30.474222872714975,1.2350437702764523,0.0,0.0,0.0,3.3658323014027407,10.421166492092613,3.0882438996637167
Control,0.0,0.0,0.0,17.983486077050316,0.0,0.0,0.0,0.0,1.400916381757511,0.4341562652911397,0.0,0.0,0.0,0.0,0.0,0.0,13.95533783872098,5.054418985888452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.145358647393891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0706218068488065,4.06633320452849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333052033741793,10.971069879322304,0.0,4.114931017362544,7.282168408208015,0.4970552295205981,0.0,0.0,0.0,0.3329196919572978,0.0,0.0,0.0,4.813923233869689,22.670144003200946,0.0
Antibiotic,0.0,0.0,0.22081299896672274,6.076475432402552,0.0,0.0,3.5968082659836877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.474522030245119,10.512121637886011,0.5368692860260422,0.0,0.0,0.0,0.0,0.0,0.0,16.562504736075216,0.2826406386774051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5086726735570432,0.0,0.0,0.4994480395806201,2.7046088454353807,6.73136020599996,0.0,0.0,0.0,0.22734309348834836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.563859334810417,0.0,8.362982817096047,7.226264503916322,0.0,0.0,0.0,4.81599682857765,0.0,0.0,0.0,0.0,4.5949471701805225,28.57805074934856,0.38682569162053615
Antibiotic,0.0,0.0,0.0,6.154634247728349,0.0,0.0,0.0,0.0,0.0,0.0,0.4962981351419851,0.0,0.0,0.0,0.0,0.0,14.282262890780325,2.084047185041105,0.0,0.0,0.1757818213755809,0.0,0.0,0.0,0.0,13.11298097409675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8008648277265318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1428421008273975,0.0,2.7175323284164286,7.21455398807137,0.0,0.0,0.0,1.4896511188862451,0.0,0.0,0.0,0.0,5.347658183788967,19.675245968040066,0.0
