tax_id	NZ	order	phylum	genus	family	species	class
1307	NZ_CP017667.1	Lactobacillales	Firmicutes	Streptococcus	Streptococcaceae	Streptococcus suis	Bacilli
342451	NC_007350.1	Bacillales	Firmicutes	Staphylococcus	Staphylococcaceae	Staphylococcus saprophyticus	Bacilli
342451	NC_007351.1	Bacillales	Firmicutes	Staphylococcus	Staphylococcaceae	Staphylococcus saprophyticus	Bacilli
342451	NC_007352.1	Bacillales	Firmicutes	Staphylococcus	Staphylococcaceae	Staphylococcus saprophyticus	Bacilli
1387353	NZ_CP019082.1	Planctomycetales	Planctomycetes	Paludisphaera	Isosphaeraceae	Paludisphaera borealis	Planctomycetia
1387353	NZ_CP019083.1	Planctomycetales	Planctomycetes	Paludisphaera	Isosphaeraceae	Paludisphaera borealis	Planctomycetia
1387353	NZ_CP019084.1	Planctomycetales	Planctomycetes	Paludisphaera	Isosphaeraceae	Paludisphaera borealis	Planctomycetia
562	NZ_CP031609.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
562	NZ_CP031610.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
446	NZ_CP015927.1	Legionellales	Proteobacteria	Legionella	Legionellaceae	Legionella pneumophila	Gammaproteobacteria
2055892	NZ_CP025000.1	Alteromonadales	Proteobacteria	Idiomarina	Idiomarinaceae	Idiomarina sp. X4	Gammaproteobacteria
754476	NZ_CP021973.1	Thiotrichales	Proteobacteria	Methylophaga	Piscirickettsiaceae	Methylophaga nitratireducenticrescens	Gammaproteobacteria
754476	NZ_CP021975.1	Thiotrichales	Proteobacteria	Methylophaga	Piscirickettsiaceae	Methylophaga nitratireducenticrescens	Gammaproteobacteria
754476	NZ_CP021974.1	Thiotrichales	Proteobacteria	Methylophaga	Piscirickettsiaceae	Methylophaga nitratireducenticrescens	Gammaproteobacteria
59202	NZ_LS483456.1	Enterobacterales	Proteobacteria	Salmonella	Enterobacteriaceae	Salmonella enterica	Gammaproteobacteria
718192	NZ_CP034759.1	Alteromonadales	Proteobacteria	Litorilituus	Colwelliaceae	Litorilituus sediminis	Gammaproteobacteria
2051552	NZ_CP023435.1	Corynebacteriales	Actinobacteria	Mycobacterium	Mycobacteriaceae	Mycobacterium sp. PYR15	Actinobacteria
48296	NZ_CP029610.1	Pseudomonadales	Proteobacteria	Acinetobacter	Moraxellaceae	Acinetobacter pittii	Gammaproteobacteria
48296	NZ_CP029611.1	Pseudomonadales	Proteobacteria	Acinetobacter	Moraxellaceae	Acinetobacter pittii	Gammaproteobacteria
408	NZ_LT962688.1	Rhizobiales	Proteobacteria	Methylorubrum	Methylobacteriaceae	Methylorubrum extorquens	Alphaproteobacteria
562	NZ_AP018802.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
562	NZ_AP018803.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
562	NZ_AP018804.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
562	NZ_AP018805.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
562	NZ_AP018806.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
562	NZ_AP018807.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
283942	NC_006512.1	Alteromonadales	Proteobacteria	Idiomarina	Idiomarinaceae	Idiomarina loihiensis	Gammaproteobacteria
706191	NC_013956.2	Enterobacterales	Proteobacteria	Pantoea	Erwiniaceae	Pantoea ananatis	Gammaproteobacteria
747	NZ_CP015563.1	Pasteurellales	Proteobacteria	Pasteurella	Pasteurellaceae	Pasteurella multocida	Gammaproteobacteria
1355015	NZ_CP022433.1	Streptomycetales	Actinobacteria	Streptomyces	Streptomycetaceae	Streptomyces pluripotens	Actinobacteria
1273687	NZ_CP009914.1	Corynebacteriales	Actinobacteria	Mycobacterium	Mycobacteriaceae	Mycobacterium sp. VKM Ac-1817D	Actinobacteria
28197	NZ_LT906455.1	Campylobacterales	Proteobacteria	Arcobacter	Campylobacteraceae	Arcobacter butzleri	Epsilonproteobacteria
1454642	NZ_CP007523.1	Enterobacterales	Proteobacteria	Salmonella	Enterobacteriaceae	Salmonella enterica	Gammaproteobacteria
542	NZ_CP035713.1	Sphingomonadales	Proteobacteria	Zymomonas	Sphingomonadaceae	Zymomonas mobilis	Alphaproteobacteria
562	NZ_CP027338.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
562	NZ_CP027339.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
