,ARO Accession,CVTERM ID,Model Sequence ID,Model ID,Model Name,ARO Name,Protein Accession,DNA Accession,AMR Gene Family,Drug Class,Resistance Mechanism
0,ARO:3002493,38893,1718,199,SRT-1,SRT-1,BAA23130.1,AB008454,SRT beta-lactamase,cephalosporin,antibiotic inactivation
1,ARO:3000319,36458,5190,2062,mphC,mphC,BAA34540.1,AB013298.1,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation
2,ARO:3003033,39467,414,1786,mexY,mexY,BAA34300.1,AB015853,resistance-nodulation-cell division (RND) antibiotic efflux pump,acridine dye;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux
3,ARO:3003034,39468,244,334,mexX,mexX,BAA34299.1,AB015853,resistance-nodulation-cell division (RND) antibiotic efflux pump,acridine dye;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux
4,ARO:3001082,37462,1637,57,SHV-24,SHV-24,BAA84973.1,AB023477,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
5,ARO:3000958,37338,1888,277,TEM-91,TEM-91,BAB16308.1,AB049569,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
6,ARO:3000166,36305,325,458,tet(B),tet(B),BAC67143.1,AB089595,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
7,ARO:3003551,40153,3290,618,emeA,emeA,BAC11911.1,AB091338,multidrug and toxic compound extrusion (MATE) transporter,acridine dye,antibiotic efflux
8,ARO:3000753,37133,671,1368,abeM,abeM,BAD89844.2,AB204810,multidrug and toxic compound extrusion (MATE) transporter,acridine dye;fluoroquinolone antibiotic;triclosan,antibiotic efflux
9,ARO:3002868,39302,750,448,dfrG,dfrG,BAE15963.1,AB205645,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
10,ARO:3002895,39329,584,1285,SAT-1,SAT-2,BAD95494.1,AB211124,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation
11,ARO:3003705,40359,3410,2217,mexN,mexN,BAE06006.1,AB219523.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
12,ARO:3003704,40358,3409,2216,mexM,mexM,BAE06005.1,AB219523.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
13,ARO:3003699,40351,3406,2212,mexQ,mexQ,BAE06008.1,AB219524.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,acridine dye;carbapenem;diaminopyrimidine antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux
